Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
ad-unblock,"Ad Unblock",1.1.6,1.1.5,https://downloads.wordpress.org/plugin/ad-unblock.1.1.6.zip,"2026-09-01 03:06:00",https://wordpress.org/plugins/ad-unblock/,5.0,7.0,100
ahm-ai-post-summary,"AHM AI Post Summary",1.2.1,1.1.8,https://downloads.wordpress.org/plugin/ahm-ai-post-summary.1.2.1.zip,"2026-09-01 03:13:00",https://wordpress.org/plugins/ahm-ai-post-summary/,5.6,7.4,0
apex-digital-toolbox,"Apex Digital Toolbox",2.2.2,2.2.1,https://downloads.wordpress.org/plugin/apex-digital-toolbox.2.2.2.zip,"2026-09-01 03:03:00",https://wordpress.org/plugins/apex-digital-toolbox/,6.9,8.1,100
baidu-submit-link,多合一搜索自动推送管理插件-支持Baidu/Google/Bing/IndexNow/Yandex/头条,4.4.0,4.2.11,https://downloads.wordpress.org/plugin/baidu-submit-link.4.4.0.zip,"2026-09-01 02:13:00",https://wordpress.org/plugins/baidu-submit-link/,6.0,7.4,2000
calliope-sales-workspace,"Sales Workspace",1.1.6,1.1.4,https://downloads.wordpress.org/plugin/calliope-sales-workspace.1.1.6.zip,"2026-09-01 02:43:00",https://wordpress.org/plugins/calliope-sales-workspace/,6.0,7.4,0
calliope-social-publisher,"Social Publisher by Calliope – Auto Post to 10+ Networks",2.0.1,2.0.0,https://downloads.wordpress.org/plugin/calliope-social-publisher.2.0.1.zip,"2026-09-01 03:30:00",https://wordpress.org/plugins/calliope-social-publisher/,6.4,8.1,0
citameia,CítameIA,1.53.0,1.46.0,https://downloads.wordpress.org/plugin/citameia.1.53.0.zip,"2026-09-01 02:59:00",https://wordpress.org/plugins/citameia/,5.8,7.4,0
creatorlms,"Creator LMS – WordPress LMS Plugin for Coaches, Cohorts & Course Creators",1.2.18,1.2.17,https://downloads.wordpress.org/plugin/creatorlms.1.2.18.zip,"2026-09-01 02:46:00",https://wordpress.org/plugins/creatorlms/,6.0,7.4,100
delicious-recipes,"WP Delicious – Recipe Plugin for Food Bloggers (formerly Delicious Recipes)",1.10.6,1.10.5,https://downloads.wordpress.org/plugin/delicious-recipes.1.10.6.zip,"2026-09-01 02:57:00",https://wordpress.org/plugins/delicious-recipes/,5.8,7.4,4000
digitalindo-mcp-claude,"Digitalindo MCP for Claude AI",1.3.2,1.2.0,https://downloads.wordpress.org/plugin/digitalindo-mcp-claude.1.3.2.zip,"2026-09-01 03:40:00",https://wordpress.org/plugins/digitalindo-mcp-claude/,5.6,7.4,0
easybooster,EasyBooster,1.1.2,1.1.1,https://downloads.wordpress.org/plugin/easybooster.1.1.2.zip,"2026-09-01 02:46:00",https://wordpress.org/plugins/easybooster/,6.8,7.4,0
enable-abilities-for-mcp,"Enable Abilities for MCP",2.7.2,2.5.0,https://downloads.wordpress.org/plugin/enable-abilities-for-mcp.2.7.2.zip,"2026-09-01 03:52:00",https://wordpress.org/plugins/enable-abilities-for-mcp/,6.9,8.0,2000
eu-warranty-ready,"EU Warranty Ready",1.6.0,1.5.0,https://downloads.wordpress.org/plugin/eu-warranty-ready.1.6.0.zip,"2026-09-01 02:53:00",https://wordpress.org/plugins/eu-warranty-ready/,6.6,8.0,0
fasspay-for-woocommerce,"Fasspay for WooCommerce",1.0.14,1.0.13,https://downloads.wordpress.org/plugin/fasspay-for-woocommerce.1.0.14.zip,"2026-09-01 02:07:00",https://wordpress.org/plugins/fasspay-for-woocommerce/,6.6,7.4,20
free-widgets-for-elementor,"Free Widgets For Elementor",2.0.6,2.0.5,https://downloads.wordpress.org/plugin/free-widgets-for-elementor.2.0.6.zip,"2026-09-01 02:33:00",https://wordpress.org/plugins/free-widgets-for-elementor/,6.0,7.4,30
gutenverse-form,"Gutenverse Form – Contact Form Builder, Block Form & Booking Form",3.0.6,3.0.5,https://downloads.wordpress.org/plugin/gutenverse-form.3.0.6.zip,"2026-09-01 02:58:00",https://wordpress.org/plugins/gutenverse-form/,5.9,7.0,10000
image-sizes,"ThumbPress – Compress Images, Manage Thumbnails, Detect Image Issues, WebP/AVIF, Lazy Loading, Hotlinking & More",6.7.0.1,6.6.0,https://downloads.wordpress.org/plugin/image-sizes.6.7.0.1.zip,"2026-09-01 03:02:00",https://wordpress.org/plugins/image-sizes/,6.0,7.4,20000
inbox-ai,"Inbox AI",1.1.4,1.1.2,https://downloads.wordpress.org/plugin/inbox-ai.1.1.4.zip,"2026-09-01 02:09:00",https://wordpress.org/plugins/inbox-ai/,6.7,8.1,0
lewebexy-partial-cod-with-razorpay,"Lewebexy Partial COD with Razorpay for WooCommerce",1.0.5,1.0.2,https://downloads.wordpress.org/plugin/lewebexy-partial-cod-with-razorpay.1.0.5.zip,"2026-09-01 04:02:00",https://wordpress.org/plugins/lewebexy-partial-cod-with-razorpay/,6.0,7.4,0
livepolls,LivePolls,1.4.0,1.2.0,https://downloads.wordpress.org/plugin/livepolls.1.4.0.zip,"2026-09-01 04:36:00",https://wordpress.org/plugins/livepolls/,6.3,7.4,0
naibabiji-b2b-product-showcase,"B2B Product Catalog – No E-Commerce, Global RFQ & Bulk Quote",5.3.0,5.2.5,https://downloads.wordpress.org/plugin/naibabiji-b2b-product-showcase.5.3.0.zip,"2026-09-01 03:42:00",https://wordpress.org/plugins/naibabiji-b2b-product-showcase/,7.0,7.4,100
no-category-parents,"No Category Parents",0.3.1,0.3.0,https://downloads.wordpress.org/plugin/no-category-parents.0.3.1.zip,"2026-09-01 04:12:00",https://wordpress.org/plugins/no-category-parents/,6.0,7.4,6000
ogeeat,OGEEAT,2.6.18,2.6.17,https://downloads.wordpress.org/plugin/ogeeat.2.6.18.zip,"2026-09-01 03:41:00",https://wordpress.org/plugins/ogeeat/,6.0,7.4,200
opcache-reset,"OPcache Reset",2.4.3,2.4.1,https://downloads.wordpress.org/plugin/opcache-reset.2.4.3.zip,"2026-09-01 03:23:00",https://wordpress.org/plugins/opcache-reset/,5.0,7.4,500
open-for-agents-ai-toolkit-with-mcp,"Open for Agents: AI Toolkit with MCP",0.3.52,0.3.46,https://downloads.wordpress.org/plugin/open-for-agents-ai-toolkit-with-mcp.0.3.52.zip,"2026-09-01 02:18:00",https://wordpress.org/plugins/open-for-agents-ai-toolkit-with-mcp/,6.4,8.1,0
passwords-manager,"Passwords Manager",1.5.2,0.0,https://downloads.wordpress.org/plugin/passwords-manager.1.5.2.zip,"2026-09-01 04:33:00",https://wordpress.org/plugins/passwords-manager/,6.9.4,,100
recovery-milestone-counter,"Recovery Milestone Counter",0.2.4,0.2.3,https://downloads.wordpress.org/plugin/recovery-milestone-counter.0.2.4.zip,"2026-09-01 02:24:00",https://wordpress.org/plugins/recovery-milestone-counter/,6.0,8.0,0
royal-mcp,"Royal MCP – Secure AI Connector for Claude, ChatGPT & any LLM via MCP",1.4.45,1.4.43,https://downloads.wordpress.org/plugin/royal-mcp.1.4.45.zip,"2026-09-01 02:07:00",https://wordpress.org/plugins/royal-mcp/,5.8,7.4,10000
ry-woocommerce-tools,"RY Tools for WooCommerce",2026.8.30,2026.8.12.1,https://downloads.wordpress.org/plugin/ry-woocommerce-tools.2026.8.30.zip,"2026-09-01 02:32:00",https://wordpress.org/plugins/ry-woocommerce-tools/,6.8,8.2,5000
sant-chat-ai,"Sant Chat AI",1.1.11,1.1.4,https://downloads.wordpress.org/plugin/sant-chat-ai.1.1.11.zip,"2026-09-01 03:28:00",https://wordpress.org/plugins/sant-chat-ai/,6.0,7.4,10
siternet-website-migration,"Siternet Website Migration",1.0.6,1.0.5,https://downloads.wordpress.org/plugin/siternet-website-migration.1.0.6.zip,"2026-09-01 04:49:00",https://wordpress.org/plugins/siternet-website-migration/,5.8,7.4,0
snow-monkey-blocks,"Snow Monkey Blocks",26.0.1,26.0.0,https://downloads.wordpress.org/plugin/snow-monkey-blocks.26.0.1.zip,"2026-09-01 02:27:00",https://wordpress.org/plugins/snow-monkey-blocks/,7.1,7.4,30000
softminal-cart-reward-progress-bar,"Softminal Cart Reward Progress Bar",1.1.3,1.1.1,https://downloads.wordpress.org/plugin/softminal-cart-reward-progress-bar.1.1.3.zip,"2026-09-01 03:28:00",https://wordpress.org/plugins/softminal-cart-reward-progress-bar/,5.8,7.4,0
stella-cookies,"Stella Cookies",1.0.1,1.0.0,https://downloads.wordpress.org/plugin/stella-cookies.1.0.1.zip,"2026-09-01 04:31:00",https://wordpress.org/plugins/stella-cookies/,5.8,,0
themify-wc-product-filter,"Themify – WooCommerce Product Filter",1.5.6,1.5.5,https://downloads.wordpress.org/plugin/themify-wc-product-filter.1.5.6.zip,"2026-09-01 03:37:00",https://wordpress.org/plugins/themify-wc-product-filter/,5.0,7.2,20000
wc-min-max-quantities,"Min Max Quantities – Set Minimum/Maximum Quantity & Price Limits with Step Control for WooCommerce",2.4.1,2.4.0,https://downloads.wordpress.org/plugin/wc-min-max-quantities.2.4.1.zip,"2026-09-01 04:03:00",https://wordpress.org/plugins/wc-min-max-quantities/,5.2,7.4,10000
webtend-service-catalog-builder,"Service Catalog Builder — Services, Pricing Tables & Inquiry Forms",1.0.4,1.0.3,https://downloads.wordpress.org/plugin/webtend-service-catalog-builder.1.0.4.zip,"2026-09-01 03:22:00",https://wordpress.org/plugins/webtend-service-catalog-builder/,6.2,7.4,0
woo-wallet,"Wallet for WooCommerce",1.6.14,1.6.13,https://downloads.wordpress.org/plugin/woo-wallet.1.6.14.zip,"2026-09-01 02:38:00",https://wordpress.org/plugins/woo-wallet/,6.4,7.4,20000
wp-clone-template,"Export Themes",3.0.1,3.0,https://downloads.wordpress.org/plugin/wp-clone-template.3.0.1.zip,"2026-09-01 04:12:00",https://wordpress.org/plugins/wp-clone-template/,6.0,7.4,2000
wpfunnels,"WPFunnels – Funnel Builder for WooCommerce with Checkout & One Click Upsell",3.13.0,3.12.13,https://downloads.wordpress.org/plugin/wpfunnels.3.13.0.zip,"2026-09-01 03:30:00",https://wordpress.org/plugins/wpfunnels/,6.1,7.4,5000
yatoon-booking-system,"Yatoon Salon Booking & Appointments",4.7.0,4.6.2,https://downloads.wordpress.org/plugin/yatoon-booking-system.4.7.0.zip,"2026-09-01 03:43:00",https://wordpress.org/plugins/yatoon-booking-system/,5.8,7.4,0
entrykit,"EntryKit – Starter Kits, Submissions & Auto-Display for Custom Content",1.0.0,,https://downloads.wordpress.org/plugin/entrykit.1.0.0.zip,"2026-09-01 03:33:00",https://wordpress.org/plugins/entrykit/,6.0,7.4,0
gauge-blocks-for-elementor,"Gauge Blocks for Elementor",0.3.4,,https://downloads.wordpress.org/plugin/gauge-blocks-for-elementor.zip,"2026-09-01 02:16:00",https://wordpress.org/plugins/gauge-blocks-for-elementor/,6.5,7.4,0
haidm-live-community-chat,"HaiDM Live Community Chat",1.0.17,,https://downloads.wordpress.org/plugin/haidm-live-community-chat.1.0.17.zip,"2026-09-01 04:50:00",https://wordpress.org/plugins/haidm-live-community-chat/,6.2,7.4,0
iae-makeover-workspace,"Intelligent Admin Engine",1.0.0,,https://downloads.wordpress.org/plugin/iae-makeover-workspace.1.0.0.zip,"2026-09-01 04:58:00",https://wordpress.org/plugins/iae-makeover-workspace/,6.4,7.4,0
kevinplugins-mcp-abilities-guard,"MCP Abilities Guard – Allow, reject, or hold for approval — or undo — any MCP action",1.0.0,,https://downloads.wordpress.org/plugin/kevinplugins-mcp-abilities-guard.1.0.0.zip,"2026-09-01 04:21:00",https://wordpress.org/plugins/kevinplugins-mcp-abilities-guard/,6.9,7.4,0
milardovich-file-modification-monitor,"Milardovich File Modification Monitor",1.0.0,,https://downloads.wordpress.org/plugin/milardovich-file-modification-monitor.1.0.0.zip,"2026-09-01 04:09:00",https://wordpress.org/plugins/milardovich-file-modification-monitor/,5.0,8.3,0
nexaflow-intelligence-for-woocommerce,"NexaFlow Intelligence for WooCommerce",1.0.3,,https://downloads.wordpress.org/plugin/nexaflow-intelligence-for-woocommerce.1.0.3.zip,"2026-09-01 03:29:00",https://wordpress.org/plugins/nexaflow-intelligence-for-woocommerce/,6.2,7.4,0
pay4all-win,"Pay4All WIN",1.0.0,,https://downloads.wordpress.org/plugin/pay4all-win.1.0.0.zip,"2026-09-01 04:43:00",https://wordpress.org/plugins/pay4all-win/,5.9,7.4,0
pdffixnow-embed-viewer,"PDFFixNow Embed Viewer",1.0.0,,https://downloads.wordpress.org/plugin/pdffixnow-embed-viewer.1.0.0.zip,"2026-09-01 04:24:00",https://wordpress.org/plugins/pdffixnow-embed-viewer/,5.8,7.4,0
pinswitch-user-switcher,"PinSwitch User Switcher",1.2.1,,https://downloads.wordpress.org/plugin/pinswitch-user-switcher.1.2.1.zip,"2026-09-01 04:37:00",https://wordpress.org/plugins/pinswitch-user-switcher/,6.2,8.0,0
plusmagi-blocks,"PlusMagi Blocks",1.0.0,,https://downloads.wordpress.org/plugin/plusmagi-blocks.1.0.0.zip,"2026-09-01 04:52:00",https://wordpress.org/plugins/plusmagi-blocks/,6.0,,0
smeplan-security-shield,"SMEPlan Security Shield",0.7.31,,https://downloads.wordpress.org/plugin/smeplan-security-shield.0.7.31.zip,"2026-09-01 02:04:00",https://wordpress.org/plugins/smeplan-security-shield/,6.1,7.4,0
speccompare,"SpecCompare for WooCommerce",0.1.1,,https://downloads.wordpress.org/plugin/speccompare.0.1.1.zip,"2026-09-01 04:28:00",https://wordpress.org/plugins/speccompare/,6.1,7.4,0
traffic-mind,"Traffic Mind Analytics",1.1.4,,https://downloads.wordpress.org/plugin/traffic-mind.1.1.4.zip,"2026-09-01 03:36:00",https://wordpress.org/plugins/traffic-mind/,5.8,7.4,0
votepulse-election-system,"VotePulse Election System",1.1.0,,https://downloads.wordpress.org/plugin/votepulse-election-system.1.1.0.zip,"2026-09-01 03:47:00",https://wordpress.org/plugins/votepulse-election-system/,5.0,7.2,0
vrlpro-deeplinks-dynamic-qr-engine,"VRLPRO Deeplinks & Dynamic QR Engine",1.2.1,,https://downloads.wordpress.org/plugin/vrlpro-deeplinks-dynamic-qr-engine.1.2.1.zip,"2026-09-01 04:22:00",https://wordpress.org/plugins/vrlpro-deeplinks-dynamic-qr-engine/,5.8,7.4,0
widewalk,"Widewalk – Accessibility Toolbar",1.0.0,,https://downloads.wordpress.org/plugin/widewalk.1.0.0.zip,"2026-09-01 04:27:00",https://wordpress.org/plugins/widewalk/,6.2,7.4,0
wingmind-ai,"WingMind AI",2.6.1,,https://downloads.wordpress.org/plugin/wingmind-ai.2.6.1.zip,"2026-09-01 04:27:00",https://wordpress.org/plugins/wingmind-ai/,6.6,8.0,0
andy-votre-assistant-intelligent,"Andy, Votre Assistant Intelligent",2.26.0,2.25.0,https://downloads.wordpress.org/plugin/andy-votre-assistant-intelligent.2.26.0.zip,"2026-09-01 09:49:00",https://wordpress.org/plugins/andy-votre-assistant-intelligent/,5.0,7.3,10
artinar,"AR for WooCommerce – Augmented Reality & 3D Product Viewer for Art (ArtInAR)",1.17,1.14,https://downloads.wordpress.org/plugin/artinar.1.17.zip,"2026-09-01 09:43:00",https://wordpress.org/plugins/artinar/,5.8,7.4,0
